,0
0,65537
1,143609980446150872195498289214337889029812530197015494354319381205377473986600710836521148725866335025360161700772414230444501578763854364454065388326252303820169457053873796325430098196679350229880597678016803588023207520606076735720720420203304875711007290823451569728597940490207183331938829211905515881039
